year,region,latitude,longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2016,1,41.6488,-0.8891,1308563.0,4005,1,0,0,0,0,0,0,0,0,-0.24961952309071156
2016,2,43.3619,-5.8494,1042608.0,3239,1,0,0,0,0,0,0,0,0,-0.2720921069715999
2016,3,39.5712,2.6466,1107220.0,6609,1,0,0,0,0,0,0,0,0,-0.1333799328176944
2016,5,28.2916,-16.6291,2101924.0,11021,1,0,0,0,0,0,0,0,0,0.22806517580897717
2016,4,43.1828,-3.9878,582206.0,1971,1,0,0,0,0,0,0,0,0,-0.35062256243620593
2016,7,41.6523,-4.7245,2447519.0,6922,1,0,0,0,0,0,0,0,0,-0.002510574862076584
2016,6,39.8628,-4.0273,2041631.0,6383,1,0,0,0,0,0,0,0,0,-0.06560150291280274
2016,8,41.3851,2.1734,7522596.0,19569,1,0,0,0,0,0,0,0,0,0.8027959790559289
2016,11,39.4699,-0.3763,4959968.0,20598,1,0,0,0,0,0,0,0,0,0.7166594893431699
2016,12,39.4765,-6.3722,1087778.0,3130,1,0,0,0,0,0,0,0,0,-0.27725042566650016
2016,13,42.5751,-8.1339,2718525.0,7854,1,0,0,0,0,0,0,0,0,0.041238580675015284
2016,14,40.4168,-3.7038,6466996.0,25275,1,0,0,0,0,0,0,0,0,0.8261378646959457
2016,15,37.9922,-1.1307,1464847.0,5768,1,0,0,0,0,0,0,0,0,-0.14860857951895048
2016,16,42.6954,-1.6761,640647.0,2352,1,0,0,0,0,0,0,0,0,-0.32751361359513903
2016,17,43.263,-2.9349,2189534.0,5393,1,0,0,0,0,0,0,0,0,-0.03931361654563243
2016,18,42.2871,-2.5396,315794.0,979,1,0,0,0,0,0,0,0,0,-0.41446821367393877
2016,9,35.8894,-5.3198,84519.0,680,1,0,0,0,0,0,0,0,0,-0.43993884292534924
2016,10,35.293,-2.9387,86026.0,888,1,0,0,0,0,0,0,0,0,-0.43043908342743387
2015,0,37.3873,-5.9869,8399043.0,47420,1,0,0,0,0,0,0,0,0,1.7943410929087067
2015,1,41.6488,-0.8891,1317847.0,4735,1,0,0,0,0,0,0,0,0,-0.23334982760632467
2015,2,43.3619,-5.8494,1051229.0,4238,1,0,0,0,0,0,0,0,0,-0.25351131884705924
2015,3,39.5712,2.6466,1104479.0,7774,1,0,0,0,0,0,0,0,0,-0.11793278638193938
2015,5,28.2916,-16.6291,2100306.0,15540,1,0,0,0,0,0,0,0,0,0.2854451437416451
2015,4,43.1828,-3.9878,585179.0,2656,1,0,0,0,0,0,0,0,0,-0.3424233517517567
2015,7,41.6523,-4.7245,2472052.0,10203,1,0,0,0,0,0,0,0,0,0.04559051373685594
2015,6,39.8628,-4.0273,2059191.0,8877,1,0,0,0,0,0,0,0,0,-0.02609736883953835
2015,8,41.3851,2.1734,7508106.0,27269,1,0,0,0,0,0,0,0,0,0.9316850924378295
2015,11,39.4699,-0.3763,4980689.0,26573,1,0,0,0,0,0,0,0,0,0.8109420120880628
2015,12,39.4765,-6.3722,1092997.0,4245,1,0,0,0,0,0,0,0,0,-0.2634706513044514
2015,13,42.5751,-8.1339,2732347.0,11296,1,0,0,0,0,0,0,0,0,0.0865534735954376
2015,14,40.4168,-3.7038,6436996.0,30615,1,0,0,0,0,0,0,0,0,0.912904346887942
2015,15,37.9922,-1.1307,1467288.0,7534,1,0,0,0,0,0,0,0,0,-0.12282880978323374
2015,16,42.6954,-1.6761,640476.0,2945,1,0,0,0,0,0,0,0,0,-0.33209096690538853
2015,17,43.263,-2.9349,2189257.0,8881,1,0,0,0,0,0,0,0,0,0.006472325891150196
2015,18,42.2871,-2.5396,317053.0,1176,1,0,0,0,0,0,0,0,0,-0.4087307641578169
2015,9,35.8894,-5.3198,84263.0,697,1,0,0,0,0,0,0,0,0,-0.43847199138843435
2015,10,35.293,-2.9387,85584.0,979,1,0,0,0,0,0,0,0,0,-0.4316214588721098
2014,0,37.3873,-5.9869,8402305.0,59774,1,0,0,0,0,0,0,0,0,1.8511181602592628
2014,1,41.6488,-0.8891,1325385.0,5975,1,0,0,0,0,0,0,0,0,-0.22229025151780737
