year,region,1_against_people,2_against_freedom,3_sexual_freedom,4_family_relationships,5_property_crimes,6_collective_security,7_forgeries,8_public_administration,9_justice_administration,Latitude,Longitude,avg_crimes,years_from_today,population
2016,0,33661,23184,1837,1527,243163,12880,3606,190,5870,37.3873,-5.9869,17172.80487804878,8,8.388.107
2016,1,4005,2134,287,155,28874,1043,330,9,594,41.6488,-0.8891,1962.0731707317073,8,1.308.563
2016,2,3239,1824,146,106,18359,1108,201,0,512,43.3619,-5.8494,1336.2926829268292,8,1.042.608
2016,3,6609,4258,442,212,51859,2332,479,27,980,39.5712,2.6466,3503.512195121951,8,1.107.220
2016,5,11021,8344,530,837,61781,3029,643,26,1298,28.2916,-16.6291,4543.1463414634145,8,2.101.924
2016,4,1971,1261,69,37,12290,733,145,2,229,43.1828,-3.9878,889.829268292683,8,582.206
2016,7,6922,5110,289,203,54234,2404,643,8,1057,41.6523,-4.7245,3704.560975609756,8,2.447.519
2016,6,6383,4160,348,336,46605,2612,840,10,1027,39.8628,-4.0273,3335.878048780488,8,2.041.631
2016,8,19569,18226,2249,1417,344365,8126,3563,65,3240,41.3851,2.1734,21035.634146341465,8,7.522.596
2016,11,20598,11726,1343,880,177644,7465,2687,48,4019,39.4699,-0.3763,12056.365853658537,8,4.959.968
2016,12,3130,2092,157,207,18274,904,347,11,599,39.4765,-6.3722,1338.1707317073171,8,1.087.778
2016,13,7854,5838,434,242,52691,4197,652,18,1061,42.5751,-8.1339,3848.8536585365855,8,2.718.525
2016,14,25275,13350,1551,893,314569,5913,2931,78,4029,40.4168,-3.7038,19617.414634146342,8,6.466.996
2016,15,5768,3032,379,535,38128,1261,466,10,894,37.9922,-1.1307,2716.7804878048782,8,1.464.847
2016,16,2352,1812,219,89,18875,921,515,10,341,42.6954,-1.6761,1313.2439024390244,8,640.647
2016,17,5393,7684,394,181,62837,2386,952,27,1492,43.263,-2.9349,4308.390243902439,8,2.189.534
2016,18,979,444,48,20,5764,347,66,3,157,42.2871,-2.5396,405.7073170731707,8,315.794
2016,9,680,322,39,43,2361,451,362,4,148,35.8894,-5.3198,218.0731707317073,8,84.519
2016,10,888,290,51,25,2953,223,52,3,78,35.293,-2.9387,244.26829268292684,8,86.026
2015,0,47420,14587,1701,1641,241975,13484,3524,146,6379,37.3873,-5.9869,17357.414634146342,9,8.399.043
2015,1,4735,1384,251,159,29101,1054,303,10,674,41.6488,-0.8891,1971.341463414634,9,1.317.847
2015,2,4238,1155,147,149,18946,1111,188,4,446,43.3619,-5.8494,1375.9268292682927,9,1.051.229
2015,3,7774,2685,411,234,50642,2517,417,8,916,39.5712,2.6466,3425.439024390244,9,1.104.479
2015,5,15540,5244,506,1010,60740,3140,701,18,1266,28.2916,-16.6291,4577.682926829269,9,2.100.306
2015,4,2656,864,70,51,11661,768,113,3,256,43.1828,-3.9878,864.4634146341464,9,585.179
2015,7,10203,3208,282,251,54991,2626,541,10,1005,41.6523,-4.7245,3800.0975609756097,9,2.472.052
2015,6,8877,2707,309,355,49126,2548,752,13,1086,39.8628,-4.0273,3513.243902439024,9,2.059.191
2015,8,27269,15034,1928,2012,350445,7760,3241,58,3261,41.3851,2.1734,21493.146341463416,9,7.508.106
2015,11,26573,7906,1216,988,179704,7501,2379,97,4137,39.4699,-0.3763,12243.292682926829,9,4.980.689
2015,12,4245,1312,164,231,18942,966,299,1,530,39.4765,-6.3722,1382.1707317073171,9,1.092.997
2015,13,11296,3736,434,286,53286,4513,630,37,1032,42.5751,-8.1339,3959.951219512195,9,2.732.347
2015,14,30615,8609,1415,1228,304377,6081,3371,57,3587,40.4168,-3.7038,19108.463414634145,9,6.436.996
2015,15,7534,2122,368,581,39276,1411,532,5,810,37.9922,-1.1307,2807.609756097561,9,1.467.288
2015,16,2945,977,139,122,17511,990,245,15,321,42.6954,-1.6761,1214.439024390244,9,640.476
