,year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
48,2019,12,39.4765,-6.3722,1067710.0,3_sexual_freedom,214.0,0,0,1,0,0,0,0,0,0,-0.45341050318362697
49,2019,13,42.5751,-8.1339,2699499.0,3_sexual_freedom,634.0,0,0,1,0,0,0,0,0,0,-0.4417635292985359
50,2019,14,40.4168,-3.7038,6663394.0,3_sexual_freedom,2215.0,0,0,1,0,0,0,0,0,0,-0.3917724957549718
51,2019,15,37.9922,-1.1307,1493898.0,3_sexual_freedom,535.0,0,0,1,0,0,0,0,0,0,-0.44408390390140284
52,2019,16,42.6954,-1.6761,654214.0,3_sexual_freedom,232.0,0,0,1,0,0,0,0,0,0,-0.45080626969605836
53,2019,17,43.263,-2.9349,2207776.0,3_sexual_freedom,668.0,0,0,1,0,0,0,0,0,0,-0.44026006629245684
54,2019,18,42.2871,-2.5396,316798.0,3_sexual_freedom,92.0,0,0,1,0,0,0,0,0,0,-0.4579178165794895
55,2019,9,35.8894,-5.3198,84777.0,3_sexual_freedom,23.0,0,0,1,0,0,0,0,0,0,-0.45858394219027493
56,2019,10,35.293,-2.9387,86487.0,3_sexual_freedom,33.0,0,0,1,0,0,0,0,0,0,-0.45865495321007393
57,2019,0,37.3873,-5.9869,8414240.0,4_family_relationships,1503.0,0,0,0,1,0,0,0,0,0,-0.4008131965951704
58,2019,1,41.6488,-0.8891,1319291.0,4_family_relationships,161.0,0,0,0,1,0,0,0,0,0,-0.45372783767045594
59,2019,2,43.3619,-5.8494,1022800.0,4_family_relationships,99.0,0,0,0,1,0,0,0,0,0,-0.4558443849827022
60,2019,3,39.5712,2.6466,1149460.0,4_family_relationships,188.0,0,0,0,1,0,0,0,0,0,-0.4528330503140863
61,2019,5,28.2916,-16.6291,2153389.0,4_family_relationships,639.0,0,0,0,1,0,0,0,0,0,-0.4289000389136704
62,2019,4,43.1828,-3.9878,581078.0,4_family_relationships,41.0,0,0,0,1,0,0,0,0,0,-0.45842718015074935
63,2019,7,41.6523,-4.7245,2399548.0,4_family_relationships,196.0,0,0,0,1,0,0,0,0,0,-0.4522154485567961
64,2019,6,39.8628,-4.0273,2032863.0,4_family_relationships,326.0,0,0,0,1,0,0,0,0,0,-0.44758934436418424
65,2019,8,41.3851,2.1734,7675217.0,4_family_relationships,1134.0,0,0,0,1,0,0,0,0,0,-0.40922268151524377
66,2019,11,39.4699,-0.3763,5003769.0,4_family_relationships,858.0,0,0,0,1,0,0,0,0,0,-0.4259353660001982
67,2019,12,39.4765,-6.3722,1067710.0,4_family_relationships,224.0,0,0,0,1,0,0,0,0,0,-0.45193393147889777
68,2019,13,42.5751,-8.1339,2699499.0,4_family_relationships,171.0,0,0,0,1,0,0,0,0,0,-0.4515971526035757
69,2019,14,40.4168,-3.7038,6663394.0,4_family_relationships,822.0,0,0,0,1,0,0,0,0,0,-0.42719669492910944
70,2019,15,37.9922,-1.1307,1493898.0,4_family_relationships,552.0,0,0,0,1,0,0,0,0,0,-0.43835044666947215
71,2019,16,42.6954,-1.6761,654214.0,4_family_relationships,74.0,0,0,0,1,0,0,0,0,0,-0.4567476924299431
72,2019,17,43.263,-2.9349,2207776.0,4_family_relationships,139.0,0,0,0,1,0,0,0,0,0,-0.4526898195248886
73,2019,18,42.2871,-2.5396,316798.0,4_family_relationships,31.0,0,0,0,1,0,0,0,0,0,-0.4592321662253886
74,2019,9,35.8894,-5.3198,84777.0,4_family_relationships,31.0,0,0,0,1,0,0,0,0,0,-0.4587623816257379
75,2019,10,35.293,-2.9387,86487.0,4_family_relationships,25.0,0,0,0,1,0,0,0,0,0,-0.45903811088077634
76,2019,0,37.3873,-5.9869,8414240.0,5_property_crimes,239711.0,0,0,0,0,1,0,0,0,0,8.85787503280416
77,2019,1,41.6488,-0.8891,1319291.0,5_property_crimes,31651.0,0,0,0,0,1,0,0,0,0,0.658808962595149
78,2019,2,43.3619,-5.8494,1022800.0,5_property_crimes,19066.0,0,0,0,0,1,0,0,0,0,0.24693792208617893
79,2019,3,39.5712,2.6466,1149460.0,5_property_crimes,58274.0,0,0,0,0,1,0,0,0,0,1.626143659372254
80,2019,5,28.2916,-16.6291,2153389.0,5_property_crimes,64716.0,0,0,0,0,1,0,0,0,0,1.9214331649504837
81,2019,4,43.1828,-3.9878,581078.0,5_property_crimes,12953.0,0,0,0,0,1,0,0,0,0,0.021136972360289774
82,2019,7,41.6523,-4.7245,2399548.0,5_property_crimes,56640.0,0,0,0,0,1,0,0,0,0,1.6369706827328843
83,2019,6,39.8628,-4.0273,2032863.0,5_property_crimes,50473.0,0,0,0,0,1,0,0,0,0,1.3728777531930072
84,2019,8,41.3851,2.1734,7675217.0,5_property_crimes,425113.0,0,0,0,0,1,0,0,0,0,13.8143979422822
85,2019,11,39.4699,-0.3763,5003769.0,5_property_crimes,174091.0,0,0,0,0,1,0,0,0,0,6.295471907318812
86,2019,12,39.4765,-6.3722,1067710.0,5_property_crimes,18583.0,0,0,0,0,1,0,0,0,0,0.24119596394552836
87,2019,13,42.5751,-8.1339,2699499.0,5_property_crimes,56924.0,0,0,0,0,1,0,0,0,0,1.5936851216981078
88,2019,14,40.4168,-3.7038,6663394.0,5_property_crimes,337836.0,0,0,0,0,1,0,0,0,0,11.845731182390153
89,2019,15,37.9922,-1.1307,1493898.0,5_property_crimes,41700.0,0,0,0,0,1,0,0,0,0,1.0464922525645022
90,2019,16,42.6954,-1.6761,654214.0,5_property_crimes,21485.0,0,0,0,0,1,0,0,0,0,0.27376763078782684
91,2019,17,43.263,-2.9349,2207776.0,5_property_crimes,71978.0,0,0,0,0,1,0,0,0,0,2.029269951398493
92,2019,18,42.2871,-2.5396,316798.0,5_property_crimes,6179.0,0,0,0,0,1,0,0,0,0,-0.23774587279573783
93,2019,9,35.8894,-5.3198,84777.0,5_property_crimes,2159.0,0,0,0,0,1,0,0,0,0,-0.37356707336249034
94,2019,10,35.293,-2.9387,86487.0,5_property_crimes,3281.0,0,0,0,0,1,0,0,0,0,-0.3434036802742568
95,2019,0,37.3873,-5.9869,8414240.0,6_collective_security,15094.0,0,0,0,0,0,1,0,0,0,0.049752914668930115
96,2019,1,41.6488,-0.8891,1319291.0,6_collective_security,1360.0,0,0,0,0,0,1,0,0,0,-0.4167887324503123
97,2019,2,43.3619,-5.8494,1022800.0,6_collective_security,1205.0,0,0,0,0,0,1,0,0,0,-0.41881849318849845
98,2019,3,39.5712,2.6466,1149460.0,6_collective_security,2880.0,0,0,0,0,0,1,0,0,0,-0.3634736103051129
99,2019,5,28.2916,-16.6291,2153389.0,6_collective_security,3439.0,0,0,0,0,0,1,0,0,0,-0.33687737012716656
100,2019,4,43.1828,-3.9878,581078.0,6_collective_security,716.0,0,0,0,0,0,1,0,0,0,-0.4321343738558308
101,2019,7,41.6523,-4.7245,2399548.0,6_collective_security,2911.0,0,0,0,0,0,1,0,0,0,-0.3628889486339931
102,2019,6,39.8628,-4.0273,2032863.0,6_collective_security,3224.0,0,0,0,0,0,1,0,0,0,-0.35741187229092863
103,2019,8,41.3851,2.1734,7675217.0,6_collective_security,8938.0,0,0,0,0,0,1,0,0,0,-0.138077072897384
104,2019,11,39.4699,-0.3763,5003769.0,6_collective_security,7739.0,0,0,0,0,0,1,0,0,0,-0.17103709631828273
105,2019,12,39.4765,-6.3722,1067710.0,6_collective_security,1248.0,0,0,0,0,0,1,0,0,0,-0.42145019015660984
106,2019,13,42.5751,-8.1339,2699499.0,6_collective_security,4992.0,0,0,0,0,0,1,0,0,0,-0.28812178524693655
107,2019,14,40.4168,-3.7038,6663394.0,6_collective_security,7696.0,0,0,0,0,0,1,0,0,0,-0.2250158165575592
108,2019,15,37.9922,-1.1307,1493898.0,6_collective_security,1664.0,0,0,0,0,0,1,0,0,0,-0.4068678922279645
109,2019,16,42.6954,-1.6761,654214.0,6_collective_security,1583.0,0,0,0,0,0,1,0,0,0,-0.41851672558308417
110,2019,17,43.263,-2.9349,2207776.0,6_collective_security,2773.0,0,0,0,0,0,1,0,0,0,-0.36503648365129937
111,2019,18,42.2871,-2.5396,316798.0,6_collective_security,413.0,0,0,0,0,0,1,0,0,0,-0.4473417740788396
