year,region,Latitude,Longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,values_year_minus_1,values_year_minus_2,values_year_minus_3
2017,17,43.263,-2.9349,2.194.158,6193,1,0,0,0,0,0,0,0,0,5393.0,8881.0,12313.0
2017,18,42.2871,-2.5396,315.381,1006,1,0,0,0,0,0,0,0,0,979.0,1176.0,1527.0
2017,9,35.8894,-5.3198,84.959,700,1,0,0,0,0,0,0,0,0,680.0,697.0,736.0
2017,10,35.293,-2.9387,86.120,889,1,0,0,0,0,0,0,0,0,888.0,979.0,1057.0
2016,0,37.3873,-5.9869,8.388.107,33661,1,0,0,0,0,0,0,0,0,47420.0,59774.0,56840.0
2016,1,41.6488,-0.8891,1.308.563,4005,1,0,0,0,0,0,0,0,0,4735.0,5975.0,6330.0
2016,2,43.3619,-5.8494,1.042.608,3239,1,0,0,0,0,0,0,0,0,4238.0,5429.0,5617.0
2016,3,39.5712,2.6466,1.107.220,6609,1,0,0,0,0,0,0,0,0,7774.0,9299.0,9030.0
2016,5,28.2916,-16.6291,2.101.924,11021,1,0,0,0,0,0,0,0,0,15540.0,19560.0,19224.0
2016,4,43.1828,-3.9878,582.206,1971,1,0,0,0,0,0,0,0,0,2656.0,3312.0,3180.0
2016,7,41.6523,-4.7245,2.447.519,6922,1,0,0,0,0,0,0,0,0,10203.0,13110.0,13015.0
2016,6,39.8628,-4.0273,2.041.631,6383,1,0,0,0,0,0,0,0,0,8877.0,11389.0,11134.0
2016,8,41.3851,2.1734,7.522.596,19569,1,0,0,0,0,0,0,0,0,27269.0,36313.0,35622.0
2016,11,39.4699,-0.3763,4.959.968,20598,1,0,0,0,0,0,0,0,0,26573.0,33506.0,32380.0
2016,12,39.4765,-6.3722,1.087.778,3130,1,0,0,0,0,0,0,0,0,4245.0,5421.0,5210.0
2016,13,42.5751,-8.1339,2.718.525,7854,1,0,0,0,0,0,0,0,0,11296.0,14264.0,14182.0
2016,14,40.4168,-3.7038,6.466.996,25275,1,0,0,0,0,0,0,0,0,30615.0,35230.0,35149.0
2016,15,37.9922,-1.1307,1.464.847,5768,1,0,0,0,0,0,0,0,0,7534.0,8920.0,8457.0
2016,16,42.6954,-1.6761,640.647,2352,1,0,0,0,0,0,0,0,0,2945.0,4294.0,3712.0
2016,17,43.263,-2.9349,2.189.534,5393,1,0,0,0,0,0,0,0,0,8881.0,12313.0,12268.0
2016,18,42.2871,-2.5396,315.794,979,1,0,0,0,0,0,0,0,0,1176.0,1527.0,1462.0
2016,9,35.8894,-5.3198,84.519,680,1,0,0,0,0,0,0,0,0,697.0,736.0,743.0
2016,10,35.293,-2.9387,86.026,888,1,0,0,0,0,0,0,0,0,979.0,1057.0,879.0
2015,0,37.3873,-5.9869,8.399.043,47420,1,0,0,0,0,0,0,0,0,59774.0,56840.0,59894.0
2015,1,41.6488,-0.8891,1.317.847,4735,1,0,0,0,0,0,0,0,0,5975.0,6330.0,5987.0
2015,2,43.3619,-5.8494,1.051.229,4238,1,0,0,0,0,0,0,0,0,5429.0,5617.0,5677.0
2015,3,39.5712,2.6466,1.104.479,7774,1,0,0,0,0,0,0,0,0,9299.0,9030.0,8966.0
2015,5,28.2916,-16.6291,2.100.306,15540,1,0,0,0,0,0,0,0,0,19560.0,19224.0,19993.0
2015,4,43.1828,-3.9878,585.179,2656,1,0,0,0,0,0,0,0,0,3312.0,3180.0,3292.0
2015,7,41.6523,-4.7245,2.472.052,10203,1,0,0,0,0,0,0,0,0,13110.0,13015.0,13943.0
2015,6,39.8628,-4.0273,2.059.191,8877,1,0,0,0,0,0,0,0,0,11389.0,11134.0,11949.0
2015,8,41.3851,2.1734,7.508.106,27269,1,0,0,0,0,0,0,0,0,36313.0,35622.0,37270.0
2015,11,39.4699,-0.3763,4.980.689,26573,1,0,0,0,0,0,0,0,0,33506.0,32380.0,33893.0
2015,12,39.4765,-6.3722,1.092.997,4245,1,0,0,0,0,0,0,0,0,5421.0,5210.0,5312.0
2015,13,42.5751,-8.1339,2.732.347,11296,1,0,0,0,0,0,0,0,0,14264.0,14182.0,14814.0
2015,14,40.4168,-3.7038,6.436.996,30615,1,0,0,0,0,0,0,0,0,35230.0,35149.0,37374.0
2015,15,37.9922,-1.1307,1.467.288,7534,1,0,0,0,0,0,0,0,0,8920.0,8457.0,9550.0
2015,16,42.6954,-1.6761,640.476,2945,1,0,0,0,0,0,0,0,0,4294.0,3712.0,2563.0
2015,17,43.263,-2.9349,2.189.257,8881,1,0,0,0,0,0,0,0,0,12313.0,12268.0,12425.0
2015,18,42.2871,-2.5396,317.053,1176,1,0,0,0,0,0,0,0,0,1527.0,1462.0,1623.0
2015,9,35.8894,-5.3198,84.263,697,1,0,0,0,0,0,0,0,0,736.0,743.0,812.0
2015,10,35.293,-2.9387,85.584,979,1,0,0,0,0,0,0,0,0,1057.0,879.0,887.0
2014,0,37.3873,-5.9869,8.402.305,59774,1,0,0,0,0,0,0,0,0,56840.0,59894.0,64275.0
2014,1,41.6488,-0.8891,1.325.385,5975,1,0,0,0,0,0,0,0,0,6330.0,5987.0,6848.0
2014,2,43.3619,-5.8494,1.061.756,5429,1,0,0,0,0,0,0,0,0,5617.0,5677.0,6256.0
2014,3,39.5712,2.6466,1.103.442,9299,1,0,0,0,0,0,0,0,0,9030.0,8966.0,9608.0
2014,5,28.2916,-16.6291,2.104.815,19560,1,0,0,0,0,0,0,0,0,19224.0,19993.0,21243.0
2014,4,43.1828,-3.9878,588.656,3312,1,0,0,0,0,0,0,0,0,3180.0,3292.0,3711.0
2014,7,41.6523,-4.7245,2.494.790,13110,1,0,0,0,0,0,0,0,0,13015.0,13943.0,14733.0
2014,6,39.8628,-4.0273,2.078.611,11389,1,0,0,0,0,0,0,0,0,11134.0,11949.0,12264.0
2014,8,41.3851,2.1734,7.518.903,36313,1,0,0,0,0,0,0,0,0,35622.0,37270.0,38159.0
2014,11,39.4699,-0.3763,5.004.844,33506,1,0,0,0,0,0,0,0,0,32380.0,33893.0,34817.0
2014,12,39.4765,-6.3722,1.099.632,5421,1,0,0,0,0,0,0,0,0,5210.0,5312.0,5655.0
2014,13,42.5751,-8.1339,2.748.695,14264,1,0,0,0,0,0,0,0,0,14182.0,14814.0,14957.0
2014,14,40.4168,-3.7038,6.454.440,35230,1,0,0,0,0,0,0,0,0,35149.0,37374.0,38965.0
2014,15,37.9922,-1.1307,1.466.818,8920,1,0,0,0,0,0,0,0,0,8457.0,9550.0,10017.0
2014,16,42.6954,-1.6761,640.790,4294,1,0,0,0,0,0,0,0,0,3712.0,2563.0,2961.0
2014,17,43.263,-2.9349,2.188.985,12313,1,0,0,0,0,0,0,0,0,12268.0,12425.0,12633.0
2014,18,42.2871,-2.5396,319.002,1527,1,0,0,0,0,0,0,0,0,1462.0,1623.0,1625.0
2014,9,35.8894,-5.3198,84.963,736,1,0,0,0,0,0,0,0,0,743.0,812.0,783.0
2014,10,35.293,-2.9387,84.509,1057,1,0,0,0,0,0,0,0,0,879.0,887.0,948.0
2013,0,37.3873,-5.9869,8.440.300,56840,1,0,0,0,0,0,0,0,0,59894.0,64275.0,63795.0
2013,1,41.6488,-0.8891,1.347.150,6330,1,0,0,0,0,0,0,0,0,5987.0,6848.0,6752.0
2013,2,43.3619,-5.8494,1.068.165,5617,1,0,0,0,0,0,0,0,0,5677.0,6256.0,6171.0
2013,3,39.5712,2.6466,1.111.674,9030,1,0,0,0,0,0,0,0,0,8966.0,9608.0,8938.0
2013,5,28.2916,-16.6291,2.118.679,19224,1,0,0,0,0,0,0,0,0,19993.0,21243.0,21268.0
2013,4,43.1828,-3.9878,591.888,3180,1,0,0,0,0,0,0,0,0,3292.0,3711.0,3564.0
2013,7,41.6523,-4.7245,2.519.875,13015,1,0,0,0,0,0,0,0,0,13943.0,14733.0,14241.0
2013,6,39.8628,-4.0273,2.100.998,11134,1,0,0,0,0,0,0,0,0,11949.0,12264.0,12305.0
2013,8,41.3851,2.1734,7.553.650,35622,1,0,0,0,0,0,0,0,0,37270.0,38159.0,37650.0
2013,11,39.4699,-0.3763,5.113.815,32380,1,0,0,0,0,0,0,0,0,33893.0,34817.0,34995.0
2013,12,39.4765,-6.3722,1.104.004,5210,1,0,0,0,0,0,0,0,0,5312.0,5655.0,6059.0
2013,13,42.5751,-8.1339,2.765.940,14182,1,0,0,0,0,0,0,0,0,14814.0,14957.0,14617.0
2013,14,40.4168,-3.7038,6.495.551,35149,1,0,0,0,0,0,0,0,0,37374.0,38965.0,39030.0
2013,15,37.9922,-1.1307,1.472.049,8457,1,0,0,0,0,0,0,0,0,9550.0,10017.0,9882.0
2013,16,42.6954,-1.6761,644.477,3712,1,0,0,0,0,0,0,0,0,2563.0,2961.0,2726.0
2013,17,43.263,-2.9349,2.191.682,12268,1,0,0,0,0,0,0,0,0,12425.0,12633.0,11792.0
2013,18,42.2871,-2.5396,322.027,1462,1,0,0,0,0,0,0,0,0,1623.0,1625.0,1695.0
2013,9,35.8894,-5.3198,84.180,743,1,0,0,0,0,0,0,0,0,812.0,783.0,833.0
2013,10,35.293,-2.9387,83.679,879,1,0,0,0,0,0,0,0,0,887.0,948.0,1011.0
2019,0,37.3873,-5.9869,8.414.240,25751,0,1,0,0,0,0,0,0,0,24513.0,24427.0,23184.0
2019,1,41.6488,-0.8891,1.319.291,2276,0,1,0,0,0,0,0,0,0,2233.0,2071.0,2134.0
2019,2,43.3619,-5.8494,1.022.800,1872,0,1,0,0,0,0,0,0,0,1751.0,1842.0,1824.0
