year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA,values_year_minus_1,values_year_minus_2,values_year_minus_3
2020,1,41.6488,-0.8891,1319291.0,3_sexual_freedom,332.6997222222223,0,0,1,0,0,0,0,0,0,-0.4478832400830915,,,
2020,2,43.3619,-5.8494,1022800.0,3_sexual_freedom,204.0025000000002,0,0,1,0,0,0,0,0,0,-0.4530610752268646,,,
2020,3,39.5712,2.6466,1149460.0,3_sexual_freedom,543.6219444444445,0,0,1,0,0,0,0,0,0,-0.4365062841003847,,,
2020,5,28.2916,-16.6291,2153389.0,3_sexual_freedom,715.5836111111112,0,0,1,0,0,0,0,0,0,-0.43091730725442967,,,
2020,4,43.1828,-3.9878,581078.0,3_sexual_freedom,101.80916666666663,0,0,1,0,0,0,0,0,0,-0.4562939573061868,,,
2020,7,41.6523,-4.7245,2399548.0,3_sexual_freedom,400.5838888888887,0,0,1,0,0,0,0,0,0,-0.44325842233312884,,,
2020,6,39.8628,-4.0273,2032863.0,3_sexual_freedom,419.81916666666655,0,0,1,0,0,0,0,0,0,-0.44241686747783254,,,
2020,8,41.3851,2.1734,7675217.0,3_sexual_freedom,2358.590833333333,0,0,1,0,0,0,0,0,0,-0.3598556202497015,,,
2020,11,39.4699,-0.3763,5003769.0,3_sexual_freedom,1530.3569444444454,0,0,1,0,0,0,0,0,0,-0.4002570547338857,,,
2020,12,39.4765,-6.3722,1067710.0,3_sexual_freedom,207.37722222222214,0,0,1,0,0,0,0,0,0,-0.45268378958944344,,,
2020,13,42.5751,-8.1339,2699499.0,3_sexual_freedom,469.93555555555525,0,0,1,0,0,0,0,0,0,-0.4392368588023904,,,
2020,14,40.4168,-3.7038,6663394.0,3_sexual_freedom,2047.0930555555553,0,0,1,0,0,0,0,0,0,-0.38324154642648284,,,
2020,15,37.9922,-1.1307,1493898.0,3_sexual_freedom,421.5652777777777,0,0,1,0,0,0,0,0,0,-0.442106477682195,,,
2020,16,42.6954,-1.6761,654214.0,3_sexual_freedom,244.24666666666673,0,0,1,0,0,0,0,0,0,-0.4506113722519263,,,
2020,17,43.263,-2.9349,2207776.0,3_sexual_freedom,498.56583333333333,0,0,1,0,0,0,0,0,0,-0.4366926253105133,,,
2020,18,42.2871,-2.5396,316798.0,3_sexual_freedom,59.2441666666667,0,0,1,0,0,0,0,0,0,-0.4573652400476057,,,
2020,9,35.8894,-5.3198,84777.0,3_sexual_freedom,45.57555555555557,0,0,1,0,0,0,0,0,0,-0.45878197436285373,,,
2020,10,35.293,-2.9387,86487.0,3_sexual_freedom,48.66722222222223,0,0,1,0,0,0,0,0,0,-0.4589008127818587,,,
2020,0,37.3873,-5.9869,8414240.0,4_family_relationships,1663.1974999999995,0,0,0,1,0,0,0,0,0,-0.4010891702211525,,,
2020,1,41.6488,-0.8891,1319291.0,4_family_relationships,170.56777777777802,0,0,0,1,0,0,0,0,0,-0.45363897269724046,,,
2020,2,43.3619,-5.8494,1022800.0,4_family_relationships,117.4125,0,0,0,1,0,0,0,0,0,-0.4559257117951629,,,
2020,3,39.5712,2.6466,1149460.0,4_family_relationships,233.5352777777777,0,0,0,1,0,0,0,0,0,-0.4531687933773691,,,
2020,5,28.2916,-16.6291,2153389.0,4_family_relationships,988.5561111111115,0,0,0,1,0,0,0,0,0,-0.43138073836939905,,,
2020,4,43.1828,-3.9878,581078.0,4_family_relationships,47.570277777777754,0,0,0,1,0,0,0,0,0,-0.45837001740844907,,,
2020,7,41.6523,-4.7245,2399548.0,4_family_relationships,232.59194444444432,0,0,0,1,0,0,0,0,0,-0.4523018775142118,,,
2020,6,39.8628,-4.0273,2032863.0,4_family_relationships,351.39305555555563,0,0,0,1,0,0,0,0,0,-0.44773343880566957,,,
