Region,1_against_people,1.1_intentional_homicides_murders,1.1.1_intentional_homicides_murders_committed,1.2_injuries,1.3_domestic_violence,1.4_other_crimes_against_people,2_against_freedom,2.1_habitual_domestic_violence,2.2_other_crimes_against_freedom,3_sexual_freedom,3.1_sexual_assault,3.1.1_sexual_assault_with_penetration,3.2_corruption_of_minors_or_disabled,3.3_child_pornography,3.4_other_crimes_against_sexual_freedom,4_family_relationships,5_property_crimes,5.1_thefts,5.2_robbery_with_force,521_Robos_con_fuerza_en_las_cosas_en_el_interior_de_vehículos,5.2.2_robbery_with_force_in_homes,5.2.3_robbery_with_force_in_establishments,5.3_robbery_with_violence_or_intimidation,5.3.1_robbery_with_violence_in_public_ways,5.3.2_robbery_with_violence_in_homes,5.3.3_robbery_with_violence_in_establishments,5.4_vehicle_theft,5.5_fraud,5.5.1_computer_fraud,5.6_damage,5.7_against_intellectual_industrial_property,5.8_money_laundering,5.9_other_property_crimes,6_collective_security,6.1_drug_trafficking,6.2_against_road_safety,6.3_other_collective_security_crimes,7_forgeries,8_public_administration,9_justice_administration,10_public_order,11_special_legislation,12_other_criminal_offenses,total_criminal_offenses,year
    TOTAL NACIONAL,166431,1107,294,97108,66102,2114,115493,14554,100939,10844,6233,1793,368,621,1829,8043,1572967,711507,318164,104274,113299,37619,62952,28900,3521,5174,43335,179756,70178,214709,1889,262,40393,58350,12448,43913,1989,19958,553,27647,18867,143,10394,2009690,2016
    EN EL EXTRANJERO,134,0,0,19,113,2,402,16,386,32,12,10,1,6,3,98,17341,2882,277,168,26,12,236,159,1,22,93,13535,4064,32,5,11,270,15,14,1,0,478,4,22,4,0,11,18541,2016
    DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
    TOTAL NACIONAL,223893,964,302,97012,64118,61799,78815,15676,63139,9869,5338,1668,432,748,1683,9814,1573983,715469,322705,100021,115302,35959,64581,28949,3929,5168,43170,165300,62038,215519,2047,290,44902,60090,12069,45991,2030,19224,535,27538,23160,192,9702,2036815,2015
    EN EL EXTRANJERO,240,3,2,25,116,96,262,10,252,21,10,3,1,3,4,103,18447,2655,297,178,22,13,224,151,1,21,88,14973,4316,30,8,15,157,16,16,0,0,475,1,18,6,1,24,19614,2015
    DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
    TOTAL NACIONAL,281713,1048,323,98821,62392,119452,42953,15958,26995,9468,5150,1622,386,625,1685,10506,1595984,727800,344875,106174,120783,37962,70855,31830,4697,5489,43206,140440,32842,218166,2608,230,47804,66938,13411,51419,2108,18408,521,28034,29466,185,7864,2092040,2014
    EN EL EXTRANJERO,284,1,0,29,80,174,170,8,162,33,11,5,3,10,4,89,17927,2552,257,145,22,8,202,145,3,10,76,14697,4625,19,6,7,111,21,16,4,1,487,0,26,7,0,10,19054,2014
    DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
    TOTAL NACIONAL,274655,964,302,100193,59819,113679,43322,16676,26646,8923,4859,1684,320,508,1552,10331,1679585,770296,381777,123355,127444,39940,86034,38975,6306,6747,48855,122483,26664,226619,3260,243,40018,71596,14296,55226,2074,17262,391,27245,31489,205,7129,2172133,2013
    EN EL EXTRANJERO,221,2,2,29,64,126,124,8,116,20,5,5,0,4,6,78,15697,2329,272,153,15,10,234,163,2,14,89,12627,3922,45,5,10,86,5,4,0,1,403,4,20,6,0,10,16588,2013
