region,1_against_people,1.1_intentional_homicides_murders,1.1.1_intentional_homicides_murders_committed,1.2_injuries,1.3_domestic_violence,1.4_other_crimes_against_people,2_against_freedom,2.1_habitual_domestic_violence,2.2_other_crimes_against_freedom,3_sexual_freedom,3.1_sexual_assault,3.1.1_sexual_assault_with_penetration,3.2_corruption_of_minors_or_disabled,3.3_child_pornography,3.4_other_crimes_against_sexual_freedom,4_family_relationships,5_property_crimes,5.1_thefts,5.2_robbery_with_force,521_Robos_con_fuerza_en_las_cosas_en_el_interior_de_vehículos,5.2.2_robbery_with_force_in_homes,5.2.3_robbery_with_force_in_establishments,5.3_robbery_with_violence_or_intimidation,5.3.1_robbery_with_violence_in_public_ways,5.3.2_robbery_with_violence_in_homes,5.3.3_robbery_with_violence_in_establishments,5.4_vehicle_theft,5.5_fraud,5.5.1_computer_fraud,5.6_damage,5.7_against_intellectual_industrial_property,5.8_money_laundering,5.9_other_property_crimes,6_collective_security,6.1_drug_trafficking,6.2_against_road_safety,6.3_other_collective_security_crimes,7_forgeries,8_public_administration,9_justice_administration,10_public_order,11_special_legislation,12_other_criminal_offenses,total_criminal_offenses,year
ASTURIAS (PRINCIPADO DE),3895,22,6,2213,1593,67,2228,105,2123,277,174,46,9,11,37,69,22476,6810,2083,458,830,353,392,212,35,95,239,8809,7661,3151,13,1,978,1080,170,859,51,592,2,729,506,1,238,32093,2022
BALEARS (ILLES),9288,39,3,4169,4868,212,5863,642,5221,915,597,157,23,14,124,280,53397,24460,7048,3192,2174,748,1272,811,88,167,1564,11589,7452,5284,72,9,2099,2458,627,1692,139,1045,22,1499,884,1,330,75982,2022
CANARIAS,13601,60,13,7038,6060,443,9960,841,9119,1148,748,234,19,33,114,599,61602,23596,8596,3373,2370,1241,1615,948,138,300,1244,16324,11699,7688,91,10,2438,3649,744,2799,106,1290,23,1975,935,1,668,95451,2022
CANTABRIA,2463,12,1,1504,865,82,1655,163,1492,162,90,39,4,11,18,55,17321,4878,2841,578,1348,445,242,109,31,71,86,5888,4349,2760,22,2,602,895,83,772,40,259,2,390,362,1,144,23709,2022
CASTILLA Y LEÓN,8473,55,16,5126,3046,246,6075,584,5491,620,362,107,23,44,84,189,63435,17361,8160,1564,2966,1318,710,374,84,159,512,23982,18968,10495,45,9,2161,3098,482,2493,123,1706,18,1516,1018,5,691,86844,2022
CASTILLA - LA MANCHA,8388,66,19,4708,3436,178,5816,807,5009,619,403,116,11,13,76,389,57046,14393,10344,2349,3307,1406,899,534,97,149,654,18821,13608,9024,20,32,2859,3496,560,2798,138,1842,9,1663,985,11,578,80842,2022
CATALUÑA,23180,264,63,14828,7644,444,21400,1716,19684,3671,1986,1184,17,189,295,1082,400321,162170,64306,29452,20019,6671,25049,18090,1098,2495,7411,88657,61607,39074,243,47,13364,11531,3965,7346,220,4715,152,4043,4138,15,783,475031,2022
COMUNITAT VALENCIANA,27316,175,38,13947,12711,483,15991,2441,13550,2390,1485,513,66,78,248,912,191865,71315,33752,11423,14601,3216,5663,3532,449,839,3160,43615,29040,26456,195,55,7654,9192,2034,6880,278,4883,52,5525,3717,26,1102,262971,2022
EXTREMADURA,3304,10,3,1972,1267,55,2637,272,2365,295,198,51,8,10,28,238,22187,6388,3490,565,1198,614,296,154,52,61,163,7595,6577,3521,12,4,718,1262,265,890,107,705,2,785,336,9,333,32093,2022
GALICIA,9217,52,7,5454,3480,231,6959,691,6268,719,433,155,19,29,83,190,68054,19527,8661,3193,2690,1361,963,529,95,215,528,25902,18456,10280,40,13,2140,5169,505,4481,183,1404,25,1568,973,7,619,94904,2022
MADRID (COMUNIDAD DE),33243,183,46,13585,18839,636,17369,1183,16186,2663,1578,613,43,88,341,862,319089,132920,39960,21974,9518,4034,12626,8560,582,1661,7397,80979,57794,35696,183,73,9255,8640,2984,5425,231,8149,59,5377,5479,11,983,401924,2022
MURCIA (REGIÓN DE),7590,59,8,4129,3290,112,4748,352,4396,620,436,93,7,20,64,592,49030,15475,10214,2922,4001,1306,1999,1293,130,317,774,12221,8651,6140,37,10,2160,1786,527,1186,73,1378,9,1618,884,14,448,68717,2022
NAVARRA (COMUNIDAD FORAL DE),3098,24,3,1838,1109,127,2343,246,2097,347,218,76,11,6,36,96,23928,8108,2850,649,985,419,422,303,27,55,132,7834,4816,3759,12,7,804,1745,147,1535,63,617,13,500,535,5,182,33409,2022
PAÍS VASCO,8330,71,8,5353,2418,488,7686,2321,5365,813,443,235,15,16,104,125,75817,29230,12113,32,5113,1948,2201,1614,103,264,718,21346,18861,8193,30,10,1976,3527,623,2800,104,1687,15,1736,1437,1,582,101756,2022
RIOJA (LA),1391,9,1,792,550,40,816,97,719,109,77,19,5,2,6,32,8254,2743,1251,208,527,167,121,69,8,29,77,2494,2152,1270,2,2,294,507,98,373,36,180,1,267,147,1,49,11754,2022
CIUDAD AUTÓNOMA DE CEUTA,738,35,4,432,268,3,335,12,323,46,35,5,1,3,2,29,1817,425,211,134,31,13,107,75,5,10,107,529,469,378,2,1,57,277,115,153,9,78,0,108,152,2,53,3635,2022
CIUDAD AUTÓNOMA DE MELILLA,926,7,2,532,368,19,430,14,416,22,15,4,0,0,3,13,2276,732,307,191,46,38,121,96,6,9,78,536,329,427,0,1,74,303,69,232,2,58,1,106,106,0,68,4309,2022
